Tweet,SLO
 slomention fun fact larry anthonythe national’s president also is director of lobbying firm whose clients include santoscsg fracking project near bj’s gwabegar propey amp indue cashless welfare card company no conflict of interests there😏 slohashtag  slourl,social
 slomention 73 of australians want to ditch any new slohashtag mines in favour of fasttracked investment in slohashtag its time to invest in our clean future slohashtag slohashtag slourl,environmental
 slomention adanis mine is another coal project slomention  a polluting mega coal mine that will trash our reefsteal our water amp destroy our climate thats why twothirds of australians want to slohashtag slourl oil searchs botten poaches woodside team slourl nonono shoens message to adani slourl via slomention,environmental
 slomention gosh dodgy adani allegedly misled about employment amp altered lab repototally disgracefulthey will also risk destroying ancestral land amp ecosystemdraining waterblack lungworsening air quality amp global warming there is more work in clean energy amp tourism slohashtag slourl,environmental
 slomention this is billions  total corruption going on in australian rail track corporation inland rail strange rerouting in nsw slohashtag and qld slohashtag and no one is repoing it are you all bloody asleep slohashtag slohashtag slohashtag slourl,economic
 slomention slomention s message to slomention no no no there is no way i will suppo government money propping up slohashtag slourl slomention slomention slomention slomention slomention slomention slomention slomention slohashtag slohashtag,economic
 slomention slomention absolutely right  i get so tired of people dissing labor over adani as if its the only issue that we face under the lnp the greens keep provoking itof coursenot because they can stop adanibut because they want to wedge labor,social
labors environment group wants pay to make clear its stance on slohashtag mine slourl,social
 slomention jobs amp growth slohashtag imo adani is as crooked as a dogs hind leg global pariahs with a shocking environmental record it makes you wonder why our major paies even consider doing business with them they cant even fund their own work slourl,economic
 slomention labor mp says adani mine would displace jobs and sabotage paris targetsand he’s correct let’s deliver a slohashtag for coal communitiesnot false job promises and displacement slohashtag slohashtag slourl,economic
results wrap february 20 oil searchsuper retail groupseven west media slourl via slomention,economic
 slomention 4 abc board member  vanessa guthrie no relation to michelle links to slomention slomention gt slourl ltgt gt slourl slourl,social
 slomention good news everyoneits now cheaper to build a solar power plant than it is to maintain a coal fired plant slohashtag slohashtag slohashtag slohashtag slohashtag,economic
what now slomention  more lies that labor suppos adani slohashtag slohashtag slourl,social
labor’s influential internal environmental lobby group has called on the federal pay to clarify its stance on the controversial slohashtag coalminea project it says is not in the national interest slohashtag slohashtag slourl,economic
now lean putting on the pressure within slomention slomention time to get off the fence and slohashtag slourl,social
 slomention slomention slomention slomention slomention slomention slomention slomention slomention slomention slomention former slohashtag ceo says that slohashtag is the dumbest thing slomention could ever do because slohashtag will replace coal and be far cheaper and coal prices will plummet and none of the loans will ever get repaid because the slohashtag mine will go broke slohashtag,economic
labor official quote “the adani mine is not in the national interest and does not have broad community suppo” bill shoen “coal has a place and adani is just another project” shoen is the problem here slourl,social
 slomention slomention absolutely right  i get so tired of people dissing labor over adani as if its the only issue that we face under the lnp the greens keep provoking itof coursenot because they can stop adanibut because they want to wedge labor,social
 slomention labors environment group wants pay to make clear its stance on adani mine slourl slomention slohashtag slohashtag,social
 slomention whats going on here slohashtag  repos shoen suppoing coal did he specify coking vs fossil fuel amp his comments on slohashtag as just another project media will double down on anything he says in this regrd while letting lnp off the hook whats the truth slomention  slourl,social
 slomention oil searchs botten poaches woodside team slourl,social
 slomention tonight the biggest ‘black money’ scandal ever investigated in india involves the adani group hear the story on leninl,economic
 slomention bill shoen is still sitting on the fence we need all sides of politics to catch up with the twothirds of australians who want to slohashtag and oppose the megamine 🛑 slourl,social
 slomention you knowjudging by today’s papersit’s almost as if labor is trying to walk both sides of the fence on coal until the batman byelection is over come on labortime to commit to quit coal and slohashtag slourl,social
there are antiadani slogans on basically every flat surfacemind you,social
 slomention just a reminder if shoen came out today and said labor would stop adani from going ahead if they win next electionlike hawke did with franklin damthe project is dead time for claritylabornot fencesitting slourl,social
 slomention out of africa with tomas friedman slourl via slomention slohashtag time to take slohashtag seriously slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag slohashtag 60000000 slohashtag slourl,environmental
 slomention slohashtag some media today re shoen’s slohashtag comments y’day pls see full interview here media has mislead slomention slomention slomention  slourl,social
 slomention 73 of australians want to ditch any new slohashtag mines in favour of fasttracked investment in slohashtag its time to invest in our clean future slohashtag slohashtag slourl,social
 slomention jobs amp growth slohashtag imo adani is as crooked as a dogs hind leg global pariahs with a shocking environmental record it makes you wonder why our major paies even consider doing business with them they cant even fund their own work slourl,environmental
 slomention labor mp says adani mine would displace jobs and sabotage paris targetsand he’s correct let’s deliver a slohashtag for coal communitiesnot false job promises and displacement slohashtag slohashtag slourl,environmental
